央视,#genre#
四川卫视超清,http://122.96.52.98:8006/JS_CUCC/G_SICHUAN-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FGElR%2BzxQCU5zI%2BocmLhJLJ9FDzXuGggYWfiL04G1oO&p=GITV&area=JS_CUCC
四川卫视,http://122.96.52.98:8006/JS_CUCC/SCWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7rQnaEYfDT2G2UYZtz0BTuh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
天津卫视超清,http://122.96.52.98:8006/JS_CUCC/G_TIANJIN-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwAogWy2ujKRUnxN2QakGrs4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
天津卫视,http://122.96.52.98:8006/JS_CUCC/TJWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BYCE%2B14RvRHcGOkTyx1aGyh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
贵州卫视超清,http://122.96.52.98:8006/JS_CUCC/G_GUIZHOU-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8bhhtaW7uww1Ae6Ga8I8WA4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
贵州卫视,http://122.96.52.98:8006/JS_CUCC/G_GUIZHOU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwbJ1fs%2FDk7uJeMv8PCnHSiELafl%2FKDop9ykKNt6W6fI&p=GITV&area=JS_CUCC
西藏卫视,http://122.96.52.98:8006/JS_CUCC/G_XIZANG.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4zcsOLbF8RMwXSPj6KmZhVknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
青海卫视,http://122.96.52.98:8006/JS_CUCC/G_QINGHAI.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzb4ZV4MRM%2FuziRDUBdlcdvr1FUZfqMz7k6pJmQ%2Byn3T&p=GITV&area=JS_CUCC
宁夏卫视,http://122.96.52.98:8006/JS_CUCC/G_NINGXIA.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4DusqNcZuvlGiEshZb7zUD67I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC
内蒙古卫视,http://122.96.52.98:8006/JS_CUCC/G_NEIMENGGU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzDCKJ%2FajYEPs15x2iu%2FW2O7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
云南卫视,http://122.96.52.98:8006/JS_CUCC/G_YUNNAN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV3NEcLiNVy%2F4m64sfSSWwody3SBZSWLfpNi3MsqhXagJ&p=GITV&area=JS_CUCC
海南卫视,http://122.96.52.98:8006/JS_CUCC/LYWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwxsuthJv9tJhVVjvVE25RWh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
东南卫视,http://122.96.52.98:8006/JS_CUCC/DNWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV685n1HfoUfCd54LFEwPhjmh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
新疆卫视,http://122.96.52.98:8006/JS_CUCC/G_XINJIANG.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4ubsh3FTU4pbNVkqYIbFK7yvpPW8hxBd0Rtq%2Bwa619R&p=GITV&area=JS_CUCC
甘肃卫视,http://122.96.52.98:8006/JS_CUCC/G_GANSU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV372ARN%2B81rySKgtvrIyVT8P5XS5s%2Ba9itJSw7vVkZCl&p=GITV&area=JS_CUCC
厦门卫视,http://122.96.52.98:8006/JS_CUCC/G_XIAMEN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7LwgMEL4RGNHEzvC8r1RbBknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
